Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.2767,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter
rocky
 attention
every  whos interested in
 fostering  for no costs to u  or
 adopting a  dog on  deathrow
not being w  facebook
mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved "
0,0.2756,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," nycacc
 dogsoftwitter
capone  vid
 attention
every  whos interested in
 fostering  for no costs to u or  adopting a  dog on  deathrow not being w
 facebook mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved "
0,0.2693,"people, delete, year, account, friend, time, back, message, deletefacebook, call",apparently all my friends are talking about me reactivating my  facebook account    i deleted my account just under two years ago and haven t been back since   so whoever sees me on facebook  it is not me     usernameremoved  is a fucking joke these days    furious  linkremoved 
0,0.2684,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter
atlas  vid
 attention
every  whos interested in
 fostering  for no costs to u or
 adopting a  dog on  deathrow
not being w  facebook
mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved "
0,0.2684,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter
fire  vid
 attention
every  whos interested in
 fostering  for no costs to u  or
 adopting a  dog on  deathrow
not being w  facebook
mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved "
0,0.2615,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," usernameremoved  i can t wait for the following  
calling fidget spinner
calling dead grandma
calling satan
calling god
calling michael from gta v
calling franklin from gta v
calling trevor from gta v
calling pewdiepie
calling trollzous
calling durv
facetiming durv
calling mark zuckerberg"
0,0.2587,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," usernameremoved   usernameremoved   usernameremoved   
 nyc acc
 dogsoftwitter
 attention

everyone whos interested in
 fostering  for no costs to you  or  adopting a  dog on  deathrow not being w
 facebook pls mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
there are peoples who will contact  rescues and  guide you
 "
0,0.2565,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," usernameremoved   usernameremoved   
 lasthour
 nycacc
 dogsoftwitter
 attention
every  whos interested in
 fostering  for no costs to u or  adopting a  dog on  deathrow not being w
 facebook mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u"
0,0.2565,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," usernameremoved   
 lasthour
 nycacc
 dogsoftwitter
 attention
every  whos interested in
 fostering  for no costs to u or  adopting a  dog on  deathrow not being w
 facebook mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u"
0,0.2565,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," nycacc
 dogsoftwitter
mayback  vid
 attention
every  whos interested in
 fostering  for no costs to u or  adopting a  dog on  deathrow not being w
 facebook mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved "
